,longitude,latitude,season,VHM0,VMDR
71,105.16666666666664,-1.5,DJF,0.60590714,249.82118
72,105.16666666666664,-1.4166666666666714,DJF,0.6089415,242.40543
73,105.25,-2.25,DJF,0.31967634,329.23227
74,105.25,-2.1666666666666714,DJF,0.29885268,324.91104
75,105.25,-1.8333333333333428,DJF,0.48410898,289.31976
76,105.25,-1.75,DJF,0.51123595,289.31976
77,105.25,-1.6666666666666714,DJF,0.5265479,268.26184
78,105.25,-1.5833333333333428,DJF,0.541934,257.60617
79,105.25,-1.5,DJF,0.5455265,249.82118
80,105.25,-1.4166666666666714,DJF,0.53243977,242.40543
81,105.33333333333331,-2.25,DJF,0.26757506,317.68146
82,105.33333333333331,-2.1666666666666714,DJF,0.22441064,310.5726
83,105.33333333333331,-1.75,DJF,0.43537557,316.94122
84,105.33333333333331,-1.6666666666666714,DJF,0.45272702,306.54846
85,105.33333333333331,-1.5833333333333428,DJF,0.490694,279.346
86,105.33333333333331,-1.5,DJF,0.5099589,258.0281
87,105.33333333333331,-1.4166666666666714,DJF,0.49162683,248.20842
88,105.41666666666664,-2.25,DJF,0.24021327,307.50293
89,105.41666666666664,-2.1666666666666714,DJF,0.18412423,301.13083
90,105.41666666666664,-1.5,DJF,0.47356644,258.54004
91,105.41666666666664,-1.4166666666666714,DJF,0.4652605,242.4633
92,105.5,-2.25,DJF,0.22367053,295.66306
93,105.5,-2.1666666666666714,DJF,0.16182992,295.66306
94,105.5,-1.5,DJF,0.41126132,251.08466
95,105.5,-1.4166666666666714,DJF,0.44583443,224.89577
96,105.58333333333331,-2.25,DJF,0.211277,299.09412
97,105.58333333333331,-2.1666666666666714,DJF,0.14843573,292.1985
98,105.58333333333331,-1.5,DJF,0.4253487,221.0624
99,105.58333333333331,-1.4166666666666714,DJF,0.4680291,190.58723
100,105.66666666666664,-2.333333333333343,DJF,0.21565689,295.76813
101,105.66666666666664,-2.25,DJF,0.19184557,295.76813
102,105.66666666666664,-2.1666666666666714,DJF,0.13147023,288.73798
103,105.66666666666664,-1.5,DJF,0.45881125,207.00899
104,105.66666666666664,-1.4166666666666714,DJF,0.5100678,153.54738
105,105.75,-2.583333333333343,DJF,0.2078727,304.8304
106,105.75,-2.5,DJF,0.20743476,302.54242
107,105.75,-2.4166666666666714,DJF,0.20030744,301.25232
108,105.75,-2.333333333333343,DJF,0.1918142,295.76813
109,105.75,-2.25,DJF,0.16630867,295.76813
110,105.75,-2.1666666666666714,DJF,0.116527334,288.73798
111,105.75,-1.5,DJF,0.48611516,207.00899
112,105.75,-1.4166666666666714,DJF,0.5704746,153.54738
113,105.83333333333331,-2.833333333333343,DJF,0.15604241,301.72778
114,105.83333333333331,-2.75,DJF,0.17409779,301.72778
115,105.83333333333331,-2.6666666666666714,DJF,0.19324793,301.65402
116,105.83333333333331,-2.583333333333343,DJF,0.21015103,302.0469
117,105.83333333333331,-2.5,DJF,0.19935846,298.84213
118,105.83333333333331,-2.4166666666666714,DJF,0.17909268,295.65173
119,105.83333333333331,-2.333333333333343,DJF,0.15975484,290.40494
120,105.83333333333331,-1.5,DJF,0.51849896,183.56395
121,105.83333333333331,-1.4166666666666714,DJF,0.6483689,131.09697
122,105.91666666666664,-3.583333333333343,DJF,0.13874333,163.89806
123,105.91666666666664,-3.5,DJF,0.11861824,160.62386
124,105.91666666666664,-3.4166666666666714,DJF,0.08592792,146.50896
125,105.91666666666664,-2.833333333333343,DJF,0.1619133,294.54538
126,105.91666666666664,-1.5,DJF,0.58999485,131.28404
127,105.91666666666664,-1.4166666666666714,DJF,0.7396659,131.08115
128,106.0,-3.583333333333343,DJF,0.19821137,208.05377
129,106.0,-3.5,DJF,0.17437421,197.83868
130,106.0,-3.4166666666666714,DJF,0.1357925,171.60736
131,106.0,-2.833333333333343,DJF,0.14318043,282.33154
132,106.0,-1.5,DJF,0.74064654,133.27457
133,106.0,-1.4166666666666714,DJF,0.8334203,157.37401
134,106.08333333333331,-3.583333333333343,DJF,0.24588081,228.53375
135,106.08333333333331,-3.5,DJF,0.22646506,232.32881
136,106.08333333333331,-3.4166666666666714,DJF,0.20001054,237.6398
137,106.08333333333331,-3.333333333333343,DJF,0.17471321,245.27301
138,106.08333333333331,-2.833333333333343,DJF,0.11809155,270.06348
139,106.08333333333331,-1.5833333333333428,DJF,0.6111053,197.00803
140,106.08333333333331,-1.5,DJF,0.79051065,190.23341
141,106.08333333333331,-1.4166666666666714,DJF,0.8635745,189.64111
142,106.16666666666664,-3.583333333333343,DJF,0.28778908,249.86603
143,106.16666666666664,-3.5,DJF,0.27365452,257.2298
144,106.16666666666664,-3.4166666666666714,DJF,0.25678813,260.71484
145,106.16666666666664,-3.333333333333343,DJF,0.2379351,268.22897
146,106.16666666666664,-3.25,DJF,0.22234586,268.22897
147,106.16666666666664,-3.1666666666666714,DJF,0.21402478,276.92157
148,106.16666666666664,-3.083333333333343,DJF,0.21186134,277.2142
149,106.16666666666664,-3.0,DJF,0.2035557,274.77472
150,106.16666666666664,-2.9166666666666714,DJF,0.14668408,264.2995
151,106.16666666666664,-1.6666666666666714,DJF,0.57062054,207.12589
152,106.16666666666664,-1.5833333333333428,DJF,0.6531853,220.85614
153,106.16666666666664,-1.5,DJF,0.8185715,219.57559
154,106.16666666666664,-1.4166666666666714,DJF,0.8821371,219.33589
155,106.25,-3.583333333333343,DJF,0.3229458,249.86603
156,106.25,-3.5,DJF,0.3119861,257.2298
157,106.25,-3.4166666666666714,DJF,0.29913977,260.71484
158,106.25,-3.333333333333343,DJF,0.28389966,268.22897
159,106.25,-3.25,DJF,0.26715824,268.22897
160,106.25,-3.1666666666666714,DJF,0.25218958,276.92157
161,106.25,-3.083333333333343,DJF,0.23705412,277.2142
